Reporter Name,Reporter Code,Partner Name,Partner Code,Sector,Sector Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Austria,AUT,Afghanistan,AFG,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Afghanistan,AFG,Manufacturing,D,..,..,..,..,..,..,347.39158,..,..,..
Austria,AUT,Afghanistan,AFG,Total Trade,GTT,..,..,..,..,..,..,370.2212,..,..,..
Austria,AUT,Albania,ALB,Agriculture,AB,285.14229,270.36385,265.54875,278.27171,275.76136,317.72695,277.09996,269.92101,274.33376,268.15032
Austria,AUT,Albania,ALB,Manufacturing,D,147.40284,134.95858,125.09777,126.44245,137.58833,210.61954,121.81929,136.51372,209.68123,199.75417
Austria,AUT,Albania,ALB,Total Trade,GTT,167.26881,155.13083,144.61225,147.02164,162.32908,236.525,148.0014,168.49415,218.38977,213.63513
Austria,AUT,Algeria,DZA,Agriculture,AB,..,316.84025,351.44685,386.05344,420.66003,455.26662,509.71373,564.16083,618.60794,..
Austria,AUT,Algeria,DZA,Manufacturing,D,299.81478,287.45753,290.61437,293.7712,124.1514,283.3654,237.68413,220.6343,246.08983,..
Austria,AUT,Algeria,DZA,Total Trade,GTT,330.68093,307.65481,326.91588,346.17694,148.90044,346.19138,270.45217,249.57826,279.97767,..
Austria,AUT,American Samoa,ASM,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,American Samoa,ASM,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,American Samoa,ASM,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Andorra,AND,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Andorra,AND,Manufacturing,D,291.73849,299.76417,244.1982,245.67863,226.46614,244.88284,255.88801,239.31373,234.02338,..
Austria,AUT,Andorra,AND,Total Trade,GTT,295.66621,304.67524,249.09986,250.76181,231.12695,249.28927,260.07207,243.4982,238.69372,..
Austria,AUT,Angola,AGO,Agriculture,AB,1048.2671,1079.9469,1111.6268,1143.3067,1174.9866,1206.6664,1159.4549,1112.2433,..,..
Austria,AUT,Angola,AGO,Manufacturing,D,281.0113,337.57247,298.62193,327.3564,288.0902,304.73508,387.96008,330.22249,246.88395,..
Austria,AUT,Angola,AGO,Total Trade,GTT,304.71817,360.50812,326.17139,356.93487,314.32547,331.05545,421.56185,358.11728,270.3952,..
Austria,AUT,Anguilla,AIA,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Anguilla,AIA,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Anguilla,AIA,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Antigua and Barbuda,ATG,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Antigua and Barbuda,ATG,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Antigua and Barbuda,ATG,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Argentina,ARG,Agriculture,AB,503.11893,664.50747,595.32855,526.14963,496.99449,467.83936,438.68422,459.44197,651.49383,541.93413
Austria,AUT,Argentina,ARG,Manufacturing,D,220.84023,211.68209,213.38961,208.61069,218.11084,216.61077,212.69081,220.18204,218.96109,230.5974
Austria,AUT,Argentina,ARG,Total Trade,GTT,226.29967,218.45736,219.61362,212.81214,223.92116,223.01945,217.55523,225.67892,222.60696,236.42924
Austria,AUT,Armenia,ARM,Agriculture,AB,294.85333,367.26126,364.94566,446.30417,403.41665,452.70552,590.83854,..,..,..
Austria,AUT,Armenia,ARM,Manufacturing,D,257.68271,261.92237,257.91964,184.52491,178.31838,184.8255,204.07904,226.43864,212.38125,181.61467
Austria,AUT,Armenia,ARM,Total Trade,GTT,259.78084,263.54679,274.75752,202.89872,195.94574,203.06351,223.4577,244.87044,230.0955,196.13324
Austria,AUT,Aruba,ABW,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Aruba,ABW,Manufacturing,D,513.45249,..,..,..,..,..,..,..,..,..
Austria,AUT,Aruba,ABW,Total Trade,GTT,521.75835,..,..,..,..,..,..,..,..,..
Austria,AUT,Australia,AUS,Agriculture,AB,451.10977,375.576,490.16618,456.87183,376.99888,410.32433,387.98578,421.03414,427.84858,448.33382
Austria,AUT,Australia,AUS,Manufacturing,D,167.37889,151.79201,148.95462,152.25472,150.97078,149.56307,152.62181,157.44313,158.49475,152.96961
Austria,AUT,Australia,AUS,Total Trade,GTT,170.86183,155.6555,153.13911,156.21242,154.97716,153.65966,156.7431,161.87974,163.79041,158.23429
Austria,AUT,Austria,AUT,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Austria,AUT,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Austria,AUT,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Azerbaijan,AZE,Agriculture,AB,348.2921,366.32486,384.35762,402.39037,350.75364,299.11692,235.36003,227.85787,..,..
Austria,AUT,Azerbaijan,AZE,Manufacturing,D,164.64609,204.17326,167.67189,177.78085,185.13632,185.45321,207.18495,235.24517,199.61563,204.9776
Austria,AUT,Azerbaijan,AZE,Total Trade,GTT,181.61212,221.54377,184.35806,194.32288,201.43107,194.49336,213.08491,236.05141,210.73319,215.46789
Austria,AUT,"Bahamas, The",BHS,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Bahamas, The",BHS,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Bahamas, The",BHS,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Bahrain,BHR,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Bahrain,BHR,Manufacturing,D,319.47286,273.20643,285.12532,214.84296,218.40635,181.29232,170.384,194.72097,214.09688,213.27532
Austria,AUT,Bahrain,BHR,Total Trade,GTT,321.80031,276.40722,289.39417,217.06188,220.73769,183.22978,172.02683,196.35041,216.11195,215.37609
Austria,AUT,Bangladesh,BGD,Agriculture,AB,765.50358,724.61533,683.72707,642.83882,601.95057,561.06231,520.17406,..,..,..
Austria,AUT,Bangladesh,BGD,Manufacturing,D,183.24609,182.56633,180.01793,166.024,182.34402,183.03179,183.71955,..,..,..
Austria,AUT,Bangladesh,BGD,Total Trade,GTT,195.0247,195.32855,193.43843,178.07395,193.49622,193.93639,194.37656,..,..,..
Austria,AUT,Barbados,BRB,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Barbados,BRB,Manufacturing,D,424.92512,341.90125,351.83653,362.08218,637.57416,751.93696,456.65567,430.91657,..,..
Austria,AUT,Barbados,BRB,Total Trade,GTT,431.62932,349.22388,359.23463,370.0049,649.93801,766.34994,465.37516,440.8271,..,..
Austria,AUT,Belarus,BLR,Agriculture,AB,365.95541,293.19743,306.92239,306.89632,250.60755,264.32175,285.74132,237.67435,268.9656,262.74105
Austria,AUT,Belarus,BLR,Manufacturing,D,159.9258,151.73512,152.04937,156.69457,147.4366,151.91315,153.60577,158.98776,152.97168,142.63502
Austria,AUT,Belarus,BLR,Total Trade,GTT,167.77207,158.99121,159.36236,164.42631,154.08755,159.85577,162.05632,165.31909,161.4248,152.0304
Austria,AUT,Belgium,BEL,Agriculture,AB,105.62459,127.2643,110.6878,116.30455,101.27398,101.45512,97.755253,90.194583,96.030913,..
Austria,AUT,Belgium,BEL,Manufacturing,D,70.068393,62.159769,51.056463,53.652905,52.826538,52.000172,57.688901,55.572289,51.7022,..
Austria,AUT,Belgium,BEL,Total Trade,GTT,70.780958,63.631334,52.673852,55.624861,54.409044,53.193228,58.542502,56.288234,52.758295,..
Austria,AUT,Belize,BLZ,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Belize,BLZ,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Belize,BLZ,Total Trade,GTT,360.1564,345.21047,330.26455,315.31862,300.3727,285.42677,272.6913,..,..,..
Austria,AUT,Benin,BEN,Agriculture,AB,..,..,..,..,..,..,..,..,1263.8757,..
Austria,AUT,Benin,BEN,Manufacturing,D,..,..,..,..,386.90675,365.16482,343.42289,361.5838,345.19727,328.81074
Austria,AUT,Benin,BEN,Total Trade,GTT,..,..,..,..,409.83007,386.51479,363.19951,393.76563,570.34695,360.64774
Austria,AUT,Bermuda,BMU,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Bermuda,BMU,Manufacturing,D,..,..,..,..,..,..,..,..,484.0926,..
Austria,AUT,Bermuda,BMU,Total Trade,GTT,..,..,..,..,..,..,..,..,512.04179,..
Austria,AUT,Bhutan,BTN,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Bhutan,BTN,Manufacturing,D,369.39629,404.43836,439.48043,..,..,..,..,..,..,..
Austria,AUT,Bhutan,BTN,Total Trade,GTT,428.21594,455.39911,482.58228,..,..,..,..,..,..,..
Austria,AUT,Bolivia,BOL,Agriculture,AB,410.82724,482.5677,459.80366,437.03961,431.82962,397.75468,399.20624,499.63743,..,..
Austria,AUT,Bolivia,BOL,Manufacturing,D,328.03981,281.56324,277.7543,291.95255,274.98777,255.80158,288.89438,270.82118,241.68086,250.988
Austria,AUT,Bolivia,BOL,Total Trade,GTT,324.34949,291.79457,291.01088,297.82493,276.30808,252.86331,279.14614,278.77133,256.60426,266.93488
Austria,AUT,Bosnia and Herzegovina,BIH,Agriculture,AB,164.13834,175.30848,184.28868,166.95011,164.9986,159.99406,150.69679,159.33298,165.96745,166.30582
Austria,AUT,Bosnia and Herzegovina,BIH,Manufacturing,D,82.198252,76.599659,72.435081,63.961543,63.183693,60.577224,65.59016,67.589685,62.214457,57.48366
Austria,AUT,Bosnia and Herzegovina,BIH,Total Trade,GTT,90.390325,84.28029,79.64807,72.689247,72.01771,69.229306,73.157995,74.674634,69.275517,65.679799
Austria,AUT,Botswana,BWA,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Botswana,BWA,Manufacturing,D,500.04587,327.39935,354.23089,628.94675,413.88919,516.37052,440.03749,423.1343,466.3711,330.34641
Austria,AUT,Botswana,BWA,Total Trade,GTT,506.72917,339.0568,367.46878,429.00674,427.6424,434.48812,450.91659,433.12948,477.07475,338.81132
Austria,AUT,Brazil,BRA,Agriculture,AB,332.28387,340.25536,324.55596,336.86229,330.68841,311.53951,292.06062,322.39038,329.63463,330.57131
Austria,AUT,Brazil,BRA,Manufacturing,D,161.49329,161.09106,151.26483,164.02729,163.47562,161.90855,157.79185,167.81635,155.25367,140.27675
Austria,AUT,Brazil,BRA,Total Trade,GTT,164.80456,164.74545,155.29864,167.3865,167.68634,166.0646,159.89276,172.16466,159.53514,144.62811
Austria,AUT,Brunei Darussalam,BRN,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Brunei Darussalam,BRN,Manufacturing,D,693.09523,681.49984,594.56851,511.51378,672.43064,810.57203,391.29194,477.58397,393.89347,..
Austria,AUT,Brunei Darussalam,BRN,Total Trade,GTT,698.55174,688.45416,600.92508,516.63201,678.80672,818.5982,395.85906,482.7964,398.41252,..
Austria,AUT,Bulgaria,BGR,Agriculture,AB,144.87797,141.43963,128.57625,136.17218,119.1798,116.96004,121.75337,115.25805,119.60974,108.51476
Austria,AUT,Bulgaria,BGR,Manufacturing,D,88.656831,81.710511,62.394825,63.29527,33.950821,51.869348,58.387181,65.45752,55.785186,48.035602
Austria,AUT,Bulgaria,BGR,Total Trade,GTT,92.589132,86.064055,68.068105,69.556709,53.903314,61.991003,65.256261,69.062245,62.751612,56.641957
Austria,AUT,Burkina Faso,BFA,Agriculture,AB,..,..,..,..,803.7314,668.12937,620.18351,666.58213,607.4891,548.39606
Austria,AUT,Burkina Faso,BFA,Manufacturing,D,504.87112,462.92361,420.97611,379.0286,337.08109,578.89757,403.33064,..,..,..
Austria,AUT,Burkina Faso,BFA,Total Trade,GTT,419.73934,409.64437,399.54939,389.45441,379.35944,447.41224,381.66879,365.32769,455.72755,372.71168
Austria,AUT,Burundi,BDI,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Burundi,BDI,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Burundi,BDI,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cabo Verde,CPV,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cabo Verde,CPV,Manufacturing,D,565.50474,..,..,..,..,..,..,..,..,..
Austria,AUT,Cabo Verde,CPV,Total Trade,GTT,604.66272,..,..,..,..,..,..,..,..,..
Austria,AUT,Cambodia,KHM,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cambodia,KHM,Manufacturing,D,198.19746,163.52863,165.52781,199.73096,183.47023,191.50759,188.71226,147.84437,171.95883,124.33799
Austria,AUT,Cambodia,KHM,Total Trade,GTT,263.98264,247.83324,253.6023,240.58638,223.73303,227.97746,229.52472,193.9535,222.10846,184.68446
Austria,AUT,Cameroon,CMR,Agriculture,AB,..,1165.8757,..,..,..,..,..,..,..,..
Austria,AUT,Cameroon,CMR,Manufacturing,D,479.76884,506.17818,532.58751,558.99685,585.40619,609.35281,633.29944,657.24607,595.8375,..
Austria,AUT,Cameroon,CMR,Total Trade,GTT,555.89873,609.68369,624.8404,616.95145,609.06251,472.72698,336.39145,684.9392,617.99921,..
Austria,AUT,Canada,CAN,Agriculture,AB,293.79598,328.03116,323.47922,365.65038,305.42175,285.39113,334.97058,..,..,..
Austria,AUT,Canada,CAN,Manufacturing,D,133.14579,127.17968,125.44275,128.72378,120.69359,128.55761,127.7532,..,..,..
Austria,AUT,Canada,CAN,Total Trade,GTT,134.66723,129.47479,128.31454,131.3917,123.12229,130.39043,130.03659,..,..,..
Austria,AUT,Cayman Islands,CYM,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cayman Islands,CYM,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cayman Islands,CYM,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Central African Republic,CAF,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Central African Republic,CAF,Manufacturing,D,..,..,537.46883,502.75288,468.03692,433.32097,398.60502,352.01044,410.62033,..
Austria,AUT,Central African Republic,CAF,Total Trade,GTT,..,..,574.33657,519.25898,464.18139,409.1038,361.93433,285.95564,321.30229,..
Austria,AUT,Chad,TCD,Agriculture,AB,713.8448,..,..,..,..,..,..,..,..,..
Austria,AUT,Chad,TCD,Manufacturing,D,389.97325,296.58774,527.83909,343.4636,348.60969,281.31567,300.57459,250.88287,337.86568,..
Austria,AUT,Chad,TCD,Total Trade,GTT,411.21277,334.82368,573.26144,376.72166,380.48074,308.55273,325.9956,265.30256,344.50737,344.13194
Austria,AUT,Chile,CHL,Agriculture,AB,284.14857,308.01103,316.68107,339.83306,294.79464,246.32654,276.10379,310.45129,276.74711,230.11468
Austria,AUT,Chile,CHL,Manufacturing,D,209.14488,144.40417,148.48493,156.31803,153.64148,149.45997,159.8316,155.59381,148.6564,141.2301
Austria,AUT,Chile,CHL,Total Trade,GTT,200.83817,150.50303,154.44784,161.65546,156.28617,153.31437,161.33475,158.41757,151.59525,143.24611
Austria,AUT,China,CHN,Agriculture,AB,408.86024,365.44993,379.21782,422.05592,388.35319,383.33533,394.78112,376.09781,388.6013,405.70256
Austria,AUT,China,CHN,Manufacturing,D,132.74028,121.39852,121.79483,126.97771,126.74539,124.04066,126.00276,128.71713,125.31761,121.77074
Austria,AUT,China,CHN,Total Trade,GTT,136.70914,125.69198,126.19677,131.17162,130.89449,128.01208,129.79663,132.44322,129.00818,125.39925
Austria,AUT,Colombia,COL,Agriculture,AB,373.87093,342.39918,373.71196,381.53595,380.66568,443.68116,400.59996,371.96333,400.73693,..
Austria,AUT,Colombia,COL,Manufacturing,D,269.71372,283.99577,257.00342,272.02594,257.02252,268.44953,250.42559,266.80714,303.20526,244.82149
Austria,AUT,Colombia,COL,Total Trade,GTT,268.35404,270.55746,256.0394,267.73373,256.37304,264.99511,250.6766,263.5465,279.04785,245.75446
Austria,AUT,Comoros,COM,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Comoros,COM,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Comoros,COM,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Congo, Dem. Rep.",COD,Agriculture,AB,759.95267,845.34201,985.70577,877.19002,883.68873,934.83856,841.13238,847.71322,826.05074,..
Austria,AUT,"Congo, Dem. Rep.",COD,Manufacturing,D,377.9428,329.0651,300.9488,344.64022,313.30325,330.42591,341.08849,325.16256,389.55469,277.40154
Austria,AUT,"Congo, Dem. Rep.",COD,Total Trade,GTT,395.42458,352.20291,323.52282,368.49842,334.06238,351.24526,359.29802,341.98504,409.72801,295.52375
Austria,AUT,"Congo, Rep.",COG,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Congo, Rep.",COG,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Congo, Rep.",COG,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cook Island,COK,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cook Island,COK,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cook Island,COK,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Costa Rica,CRI,Agriculture,AB,314.90244,395.64913,362.29259,406.66627,451.03995,495.41363,497.91031,500.407,470.93077,441.45454
Austria,AUT,Costa Rica,CRI,Manufacturing,D,275.03816,288.20826,296.17467,287.92453,294.67988,257.41926,305.59804,276.76225,300.18227,306.05885
Austria,AUT,Costa Rica,CRI,Total Trade,GTT,247.99213,288.10418,291.67455,295.45383,302.43094,262.81078,311.84276,282.30323,306.01749,309.71778
Austria,AUT,Côte d'Ivoire,CIV,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Côte d'Ivoire,CIV,Manufacturing,D,339.8892,341.71122,341.03952,335.65511,347.41326,329.1397,344.89537,328.62338,329.29035,264.63096
Austria,AUT,Côte d'Ivoire,CIV,Total Trade,GTT,364.21765,372.10882,369.33989,358.48422,338.10299,346.10413,362.69141,350.36506,349.85872,280.14876
Austria,AUT,Croatia,HRV,Agriculture,AB,136.40333,137.88941,136.99995,138.07136,119.959,109.85567,102.3345,101.74602,99.777144,98.331105
Austria,AUT,Croatia,HRV,Manufacturing,D,75.91552,69.205505,67.304567,67.867144,66.131217,64.054824,60.577021,61.552562,58.522679,54.563887
Austria,AUT,Croatia,HRV,Total Trade,GTT,78.69636,72.447072,70.552787,70.640368,68.889138,66.374246,62.737015,63.727582,60.872046,57.143882
Austria,AUT,Cuba,CUB,Agriculture,AB,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cuba,CUB,Manufacturing,D,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cuba,CUB,Total Trade,GTT,..,..,..,..,..,..,..,..,..,..
Austria,AUT,Cyprus,CYP,Agriculture,AB,228.95791,214.83114,241.02395,218.42991,192.60855,212.683,208.81752,212.57865,222.98684,206.13712
Austria,AUT,Cyprus,CYP,Manufacturing,D,168.00824,152.31761,149.40055,148.77072,129.67994,145.43739,148.7078,150.72962,144.00848,134.90673
Austria,AUT,Cyprus,CYP,Total Trade,GTT,165.80371,151.48559,149.52929,149.93597,130.90082,147.26306,151.12165,153.92587,147.75784,139.77177
Austria,AUT,Czech Republic,CZE,Agriculture,AB,70.846379,71.471914,72.829945,73.830613,71.995089,70.72456,64.871354,65.168523,64.929053,68.056312
Austria,AUT,Czech Republic,CZE,Manufacturing,D,48.867418,38.314098,30.151709,29.558902,22.388423,18.085881,20.24036,2.5462779,..,..
Austria,AUT,Czech Republic,CZE,Total Trade,GTT,49.670669,39.837807,33.363806,33.32486,28.495194,26.3431,26.581878,20.957101,9.2317542,..
